EntrezID	GeneLength	GL7	GL8	GL9	GL10	GL11	GL12
11500	3469	0	0	0	0	0	0
11501	3034	28	28	24	48	32	34
11502	3985	458	549	502	455	481	500
11504	4886	0	0	0	2	0	0
11512	6033	1	0	0	0	0	1
11513	6330	368	242	413	1844	1149	1681
11514	5039	0	0	0	0	0	0
11515	4457	7	25	26	25	34	16
11516	2094	0	0	0	0	0	0
11517	6243	0	0	0	0	0	0
11518	4047	2957	3198	3170	3921	3538	4184
11519	3119	1	0	0	2	1	1
11520	1887	571	546	559	646	619	690
11522	1334	0	0	0	0	0	0
11529	2079	0	0	0	0	0	0
11532	1533	2237	2274	2283	1629	1511	1940
11534	1701	1068	1117	1031	445	502	699
11535	1381	0	0	0	1	1	1
11536	1694	0	2	2	3	0	0
11537	923	0	0	0	0	0	0
11538	4903	3325	3433	3346	3492	3449	3755
11539	5786	0	0	0	0	0	0
11540	2534	18	12	10	21	9	9
11541	1844	1	0	0	0	4	0
11542	2752	0	0	1	3	1	2
11544	1583	1367	1377	1382	1302	1119	1275
11545	3827	8905	10449	10242	6017	5948	6457
11546	1788	938	1141	1181	972	932	979
11548	3047	0	0	0	0	0	0
11549	4137	0	0	0	0	0	0
11550	2394	0	0	0	0	0	0
11551	3801	0	0	0	0	0	1
11552	3936	0	0	0	2	3	2
11553	3198	0	0	0	0	0	0
11554	2491	0	0	0	0	0	1
11555	2144	11	8	6	26	26	28
11556	2795	0	0	0	0	0	0
11564	2109	1174	1461	1513	917	884	1014
11565	1791	268	296	281	421	412	417
11566	2553	2756	2860	2773	2026	2078	2396
11567	3033	4	2	3	11	3	3
11568	4049	26	25	20	8	6	8
11569	6616	2091	2200	2180	1550	1598	1775
11571	1416	73	38	140	346	185	281
11572	1387	1	3	3	8	4	10
11576	2086	0	0	0	0	0	1
11593	1266	132	132	171	187	181	163
11595	7355	0	0	0	0	0	0
11596	1370	27	27	29	25	40	35
11600	4078	1	0	0	0	2	1
11601	2475	10	5	4	3	8	0
11602	1530	1	0	0	2	2	2
11603	6842	48	48	78	84	54	50
11604	661	2	1	3	7	9	7
11605	3032	97	108	91	89	88	117
11606	1839	0	0	0	1	1	1
11607	2284	0	0	0	0	0	0
11608	2147	0	0	0	0	0	0
11609	2868	0	0	0	0	0	0
11610	4029	342	434	396	435	456	354
11611	1517	0	0	0	0	0	0
11614	1794	0	0	0	0	0	0
11622	5494	122	29	42	240	35	87
11624	4732	0	1	1	2	1	0
11625	1474	17	14	19	32	50	52
11628	2397	1	0	2	35	23	52
11629	875	3	3	2	9	6	7
11630	7416	1192	1368	1280	1380	1299	1440
11632	1347	1092	1089	1108	1287	1088	1190
11634	1929	0	0	0	0	0	0
11636	2034	1	1	1	1	0	0
11637	1909	2791	2844	2698	2173	1928	2439
11639	5162	0	0	0	0	0	0
11640	3911	160	131	209	60	65	59
11641	7212	504	562	577	746	635	703
11642	3153	0	0	0	1	0	1
11643	2994	0	0	0	0	0	0
11647	2516	2134	2367	2435	4489	3942	4086
11648	1680	0	0	0	0	0	0
11650	2113	0	0	0	0	0	0
11651	2690	4308	4631	4616	4446	3763	4385
11652	3241	738	740	776	1051	938	1035
11655	2702	303	327	358	364	304	302
11656	1979	13	16	8	11	6	9
11657	2043	0	0	0	0	0	0
11658	4959	1	0	0	4	1	1
11666	3401	1763	1826	1740	2258	2190	2097
11668	2032	3	4	1	2	0	2
11669	2207	2156	2338	2230	3560	3344	3516
11670	1729	0	0	0	0	0	0
11671	3131	667	730	630	1044	904	1101
11674	1824	1394	1396	1639	1874	1780	1847
11676	1702	8	10	7	11	10	7
11677	1402	300	307	295	266	247	278
11682	5918	0	0	0	1	0	0
11684	2991	0	0	2	1	2	0
11685	2309	0	0	0	0	0	0
11686	2347	0	0	0	0	0	0
11687	2414	0	0	1	1	0	0
11688	3269	0	0	0	0	0	0
11689	2827	14	1	5	15	4	8
11690	854	31	35	35	59	38	37
11692	1775	352	353	392	340	268	330
11694	1867	0	0	0	0	0	0
11695	5203	0	0	0	0	0	0
11698	1854	0	0	0	0	0	0
11699	1233	0	0	0	0	0	0
11702	3203	791	732	741	404	380	452
11704	967	0	0	0	0	0	0
11705	1665	11	11	11	19	11	13
11717	4084	25	17	28	56	25	56
11720	3208	0	0	0	0	0	0
11722	1822	0	0	0	2	2	3
11727	1275	31	42	51	45	71	49
11730	708	0	0	0	0	0	0
11731	438	0	0	0	0	0	0
11732	3498	0	5	7	8	4	1
11733	8616	0	1	0	3	0	0
11735	10685	249	140	47	48	111	190
11736	8034	2869	3425	3074	4101	4153	4391
11737	2089	4276	4930	4915	3596	3174	4106
11739	1108	2830	2767	2782	2734	2404	3300
11740	1238	7599	8582	8419	5124	5414	6068
11744	2395	2287	2413	2408	2363	2249	2464
11745	1597	6	2	7	19	4	5
11746	2003	44	47	56	138	95	94
11747	1724	30	47	38	88	42	113
11749	2661	2017	2217	2425	2879	2493	2840
11750	2965	870	936	927	1253	1023	1242
11752	1871	0	0	0	0	0	0
11754	4396	1	2	2	2	1	0
11757	1445	1627	1668	1525	1495	1372	1703
11758	2334	1611	1690	1623	767	915	861
11761	4382	0	0	0	0	0	0
11764	3942	1860	2182	2080	2595	2234	2663
11765	3544	1403	1768	1610	1732	1650	1831
11766	2673	1028	1133	1258	1159	1054	1048
11767	1964	2009	2484	2297	2603	2475	2637
11768	1738	15	24	17	48	47	40
11769	1277	1204	1261	1265	1075	870	1178
11770	642	1	2	0	8	2	2
11771	3443	1542	1768	1834	1802	1676	1708
11772	4639	1088	1240	1256	932	943	997
11773	2057	2537	2675	2702	2615	2240	2654
11774	4020	1672	2118	2034	2313	2234	2399
11775	3806	22	31	17	23	37	17
11776	4730	1631	1926	1881	2497	2511	2239
11777	1479	306	308	291	333	256	330
11778	5804	1041	1148	1127	1027	1028	1165
11781	1718	301	390	339	383	317	342
11782	1113	347	311	321	332	317	352
11783	6557	1887	1958	2014	2107	1814	2192
11784	3321	0	0	0	0	0	1
11785	2593	297	261	315	541	266	517
11787	3362	0	0	0	1	1	0
11789	12449	1958	2362	2226	2661	3307	3108
11790	11933	0	0	0	0	1	0
11792	1185	2455	2502	2453	1148	1201	1398
11793	2352	853	745	787	902	703	991
11796	2813	589	503	491	2037	1521	1769
11797	3140	1180	1222	1253	2309	2040	2037
11798	6550	1960	2105	1804	2802	2638	2977
11799	3416	2493	2793	2661	1371	1062	1676
11800	3702	5283	5952	5372	4203	3946	4922
11801	2037	10	3	1	27	16	28
11803	2369	0	0	0	0	0	0
11804	3694	2070	2497	2105	2091	2896	2629
11806	985	0	0	0	0	0	0
11807	521	8	10	6	12	6	6
11808	1666	0	0	0	0	0	0
11810	2265	1756	1925	1833	4875	4694	4749
11811	1218	0	0	0	0	0	1
11812	540	1	0	0	0	0	0
11813	631	0	0	0	2	1	4
11814	524	0	0	0	0	0	0
11815	1862	0	0	0	1	0	0
11816	1251	128	94	86	193	235	198
11818	1186	0	0	0	0	1	0
11819	4870	0	0	0	0	0	0
11820	3121	8	9	11	51	25	26
11821	866	704	689	725	432	502	536
11826	2760	2	7	4	8	0	0
11827	1416	0	0	0	0	0	0
11828	1763	0	0	0	1	0	0
11829	5082	1	0	0	2	0	0
11830	1551	0	0	0	0	0	0
11831	2060	0	0	0	0	0	0
11832	2524	2	1	1	0	1	0
11833	1487	0	0	0	0	0	0
11834	4886	2164	2534	2457	1839	1899	2028
11835	2999	0	0	0	0	0	0
11836	3237	827	883	903	1243	1304	1189
11837	1360	14634	15691	15909	13791	13542	15770
11838	3057	16	10	12	35	11	22
11839	1199	0	0	0	0	0	0
11840	2086	4844	4807	4835	4801	4233	4997
11841	2659	559	578	559	577	486	637
11842	3481	2195	2530	2426	2660	2374	2663
11843	2042	2299	2108	1935	1998	1787	2055
11844	933	1585	1524	1518	1584	1348	1526
11845	3731	7578	7917	7463	6287	6308	6464
11846	1477	4	1	1	4	1	3
11847	1417	13	9	14	11	9	18
11848	2126	5122	5399	5341	4719	4596	4955
11852	2228	2	3	7	20	7	12
11853	1056	13	7	4	17	6	9
11854	1338	0	0	0	0	0	0
11855	5197	0	0	1	6	1	6
11856	5748	28	56	47	78	115	102
11857	1100	9151	10898	11047	11714	11932	12084
11858	684	0	0	0	1	0	1
11859	1609	28	15	10	9	13	20
11861	3807	264	283	277	258	227	267
11863	4370	1230	1481	1480	1795	1707	1735
11864	5891	0	0	0	0	0	0
11865	2904	5119	4513	4045	6340	5903	6439
11867	1551	3533	3623	3863	4151	3605	4102
11870	1417	0	0	0	0	0	0
11871	1257	0	0	0	0	0	1
11872	870	0	4	5	4	6	6
11875	1714	6	3	2	3	5	3
11876	2177	0	0	0	0	2	0
11877	4624	2391	2726	2741	1274	1213	1159
11878	2731	0	0	0	0	0	0
11881	3989	644	588	612	839	598	941
11883	3491	167	157	177	349	323	321
11886	2251	407	413	388	627	555	660
11889	1245	0	0	0	0	0	0
11890	1373	0	0	0	0	0	0
11891	2971	610	696	658	445	436	433
11898	1631	14	9	11	10	8	14
11899	7164	0	0	0	0	0	0
11905	2162	5	0	1	9	2	7
11906	16439	364	449	425	435	737	452
11907	4908	860	949	898	926	896	1001
11908	2329	1334	1364	1370	1196	1070	1369
11909	4277	1336	1468	1270	1384	1476	1584
11910	1977	4	3	3	17	11	11
11911	1725	2500	2453	2406	3288	2667	3543
11920	11964	2364	2614	2495	1920	2296	2098
11921	2098	0	0	0	0	0	0
11922	2154	0	0	0	0	0	0
11923	3345	1	0	0	3	0	2
11924	2217	0	0	0	0	0	0
11925	1540	0	0	0	0	0	0
11927	438	444	418	498	471	432	472
11928	3648	2391	2496	2434	2327	2071	2528
11931	2422	8245	6669	6942	16126	11101	11694
11932	2959	4	3	2	3	2	2
11933	1833	7683	8314	8566	6844	9323	7548
11936	1017	0	0	0	0	0	0
11937	3440	18	31	43	47	58	34
11938	5725	3647	4049	3886	3967	3592	4212
11941	7164	2	0	0	2	0	0
11944	3447	39	43	40	55	69	102
11945	1327	0	0	1	1	0	0
11946	2432	14261	15514	15518	12030	10916	13725
11947	1879	20271	21440	21430	15364	13491	18326
11949	1801	2995	2982	2945	2720	2334	3152
11950	1456	2969	2964	2850	2658	2154	2899
11951	868	564	558	524	340	350	351
11957	758	1985	1860	1944	1603	1389	1894
11958	292	327	321	315	303	259	332
11964	3946	1362	1490	1462	1405	1355	1624
11966	2742	1410	1500	1459	1832	1615	1729
11972	1617	884	862	991	1337	1153	1182
11973	1204	962	958	870	879	817	975
11974	797	811	684	686	982	696	904
11975	4000	14	18	22	68	67	77
11977	8146	315	322	294	387	403	392
11979	4711	1	1	1	0	1	0
11980	8249	862	872	734	2258	2337	2118
11981	3529	0	0	0	0	0	0
11982	5469	831	1077	971	657	736	784
11983	539	893	889	894	643	546	713
11984	1151	874	825	802	1146	911	1037
11987	7179	1560	1800	1799	1078	956	1140
11988	7857	0	0	1	3	2	2
11989	2371	0	0	0	1	1	2
11990	8740	760	817	787	760	829	826
11991	6810	9098	10396	9410	5901	5738	7301
11992	1345	242	210	215	242	208	227
11993	1511	1764	1814	1866	2146	2188	1947
11994	15991	0	0	0	0	0	0
11997	1248	0	0	0	1	0	0
11998	507	0	0	0	0	0	0
12000	1811	43	37	37	75	67	50
12005	3779	1915	2019	1974	1771	1665	1764
12006	4260	1	1	1	2	1	4
12007	1315	0	0	0	0	0	0
12009	3578	308	385	405	243	286	281
12010	858	18939	18667	18825	26929	22034	24126
12012	1946	0	0	1	0	0	1
12013	5858	571	627	652	697	749	816
12014	8493	4545	4830	3253	8118	10106	9121
12015	1452	260	248	257	287	275	325
12017	1349	1482	1495	1429	1242	1146	1454
12018	2002	1651	1652	1764	1763	1473	1673
12020	1437	0	0	0	0	0	0
12021	5448	1127	1336	1311	468	470	579
12022	1361	0	0	0	0	0	0
12023	1791	0	0	0	0	0	0
12028	869	1289	1078	1312	1090	849	1085
12029	3426	0	4	1	0	0	2
12031	166	0	0	0	0	0	0
12032	3808	0	0	0	0	0	0
12033	2008	687	760	750	542	569	734
12034	1360	3651	3548	3612	2672	2568	3009
12035	8102	1337	1496	1416	2366	1692	3006
12036	1559	323	373	400	334	272	312
12038	6209	15	31	33	59	124	99
12039	1773	861	875	751	1212	1056	1175
12040	1398	168	225	199	137	173	186
12041	2857	1181	1332	1360	837	823	911
12042	1760	616	601	541	699	589	662
12043	7749	71	19	52	70	53	61
12044	796	0	0	0	0	1	0
12045	764	1	0	0	2	2	5
12046	444	0	0	0	0	0	0
12047	796	2	0	0	4	2	2
12048	2371	2490	2375	2208	5863	5838	4929
12049	1228	0	0	0	0	0	0
12050	3461	125	129	138	257	237	252
12051	1835	0	1	1	24	4	4
12053	3285	230	222	249	266	216	199
12054	1666	627	619	630	744	717	660
12055	965	465	418	436	442	338	441
12057	2410	0	0	2	1	0	1
12061	1338	1	0	0	1	0	0
12062	1680	0	0	0	0	1	0
12064	5487	0	0	0	0	0	0
12068	1466	472	449	478	466	411	559
12069	902	52	69	68	32	30	37
12070	938	834	952	994	528	495	555
12075	2372	1	3	1	12	11	9
12091	2353	497	566	595	856	704	848
12095	611	0	1	0	0	0	0
12096	624	4	2	2	3	2	1
12097	471	0	0	0	1	1	0
12111	2389	1	3	0	2	3	2
12116	2071	0	0	0	0	0	0
12121	5293	176	241	223	205	298	284
12122	1891	1051	1025	1001	654	630	668
12123	5366	0	0	0	0	0	0
12124	943	0	0	1	0	0	0
12125	5037	925	863	915	1851	1516	1873
12140	762	0	0	0	0	0	0
12142	5143	226	205	216	435	426	357
12143	2475	2462	1352	1686	6200	3852	5131
12144	4946	1163	1618	1596	583	649	756
12145	2615	1768	1742	1978	3449	2576	3373
12151	3594	526	503	465	411	397	444
12153	4454	5	2	2	4	2	3
12154	1317	0	0	0	0	0	0
12155	3063	0	0	0	0	0	0
12156	2515	0	0	0	0	0	1
12159	1994	0	0	0	0	0	0
12160	2528	0	0	0	1	0	0
12161	2410	0	0	0	0	0	0
12162	1968	0	0	0	0	0	0
12163	1917	3	2	3	3	3	5
12164	2940	1	2	0	2	0	1
12165	2988	0	0	0	0	0	0
12166	5481	3	4	8	4	1	18
12167	5336	0	0	0	0	0	0
12168	3507	1	2	6	3	2	6
12169	3005	0	2	2	4	0	8
12173	4663	0	0	0	0	0	0
12175	2429	1568	1569	1442	2026	1764	2234
12176	1756	323	282	251	445	612	518
12177	3237	1147	1039	1084	1650	1419	1763
12180	3361	0	0	0	0	0	0
12181	2476	1958	2026	2088	1551	1544	1605
12182	2336	3067	2562	2841	9383	7565	8405
12183	2068	216	195	240	266	237	230
12189	6648	1707	2344	2108	855	1025	1252
12190	10734	1202	1421	1476	506	626	634
12192	2984	2015	1969	1882	3068	2836	2888
12193	3537	4592	5580	4847	3618	8252	4823
12209	2772	0	0	0	0	0	0
12211	16212	5660	5738	5227	6763	7806	6757
12212	7401	0	0	0	1	0	0
12215	1752	1513	1668	1641	1925	1605	1886
12217	15937	409	387	381	230	339	243
12223	2795	0	0	0	0	0	0
12224	1728	1	0	0	1	1	1
12226	5010	2814	2696	2375	9810	10890	7592
12227	3083	2228	1419	1441	8298	6522	7134
12228	1389	229	189	198	187	163	189
12229	2535	2672	2880	2739	3882	3766	4402
12231	3449	0	0	0	2	0	0
12234	6325	1950	2082	1996	1748	2003	1799
12235	4337	2108	2523	2387	1187	884	1465
12236	3669	5510	7190	6319	3825	2970	4216
12237	2055	3950	4314	3956	3037	2244	3192
12238	881	426	398	450	480	348	455
12257	856	1022	749	792	1060	802	958
12258	1820	2	0	2	0	2	1
12259	1082	24	4	7	62	69	34
12260	1062	12	6	4	47	56	43
12261	1165	2597	2744	2699	1405	1505	1678
12262	1054	10	11	5	59	52	45
12263	2644	4	0	3	5	3	8
12265	5153	546	582	568	657	527	572
12266	5133	29	20	48	177	37	98
12267	4299	0	0	0	1	3	1
12268	5394	3	2	2	3	0	3
12269	1883	102	65	55	32	18	21
12270	754	0	0	0	0	1	0
12273	2570	9	4	4	21	8	13
12274	2841	0	0	0	0	0	1
12279	1767	0	0	0	0	0	0
12282	4432	2403	2402	2441	2867	2311	2950
12283	3800	3153	3187	3108	3231	2900	3530
12286	7929	34	32	37	15	22	16
12287	7290	192	336	285	327	438	267
12288	8631	53	52	74	226	47	105
12289	9252	8	2	6	5	0	5
12290	12697	1866	819	989	7094	3274	3633
12291	8223	0	0	0	0	1	0
12292	6260	0	0	0	1	2	0
12293	7493	0	0	0	1	0	0
12294	3695	0	0	0	0	0	0
12295	2455	145	125	120	245	232	155
12296	2970	591	732	666	436	591	511
12297	3120	0	0	2	0	0	0
12298	8280	8	2	9	4	7	5
12299	1203	0	0	0	0	1	0
12300	2887	0	0	0	0	0	0
12301	1446	2266	1984	2069	1282	1128	1619
12304	2481	2415	2765	2577	4418	3362	4345
12305	3805	0	0	0	1	0	0
12306	1374	18	18	7	61	14	48
12307	2867	0	0	0	0	0	0
12308	1431	0	0	0	0	0	0
12309	480	0	0	1	0	1	1
12310	1489	0	0	0	0	0	0
12311	3864	0	0	0	0	0	0
12313	4001	9258	9512	9292	10349	10318	11750
12314	1216	6436	7447	6848	5107	4077	5536
12315	2208	3343	3649	3546	3833	3039	3909
12316	9866	3189	4164	3441	1983	1619	2488
12317	1943	4230	4888	4763	6418	5508	7174
12319	5722	0	0	0	0	0	0
12321	3410	2695	2909	2871	2123	1962	2461
12322	5358	1	1	0	2	1	1
12323	4190	195	256	300	235	173	227
12325	3703	508	577	642	585	537	608
12326	12331	42	37	36	16	9	22
12328	1387	258	269	240	303	264	290
12330	4289	7384	8150	8224	7092	6484	8452
12331	2393	10601	11123	10926	15570	12562	14745
12332	1249	380	338	397	799	657	938
12333	3191	644	666	745	1007	968	949
12334	3185	632	789	627	1055	918	956
12335	3488	3	4	2	4	4	2
12336	1430	1965	2001	1806	2335	2139	2330
12337	4411	829	1017	1009	1183	1188	1275
12338	3554	0	0	0	0	0	0
12339	3562	1652	1703	1609	2175	2147	2305
12340	3187	920	1004	950	930	868	1096
12343	1984	3340	3385	3490	3498	3059	3980
12344	1265	0	0	0	0	0	0
12345	1749	4896	5344	5362	5879	4853	6057
12346	1248	2	0	0	6	3	1
12348	1450	0	0	0	0	2	0
12349	1790	14824	16510	17276	4560	5862	5181
12350	1537	1319	1122	1149	508	793	456
12351	1300	0	0	0	0	0	0
12352	1248	2	1	3	2	4	2
12353	1370	0	0	1	0	0	0
12354	1538	6	7	18	7	12	11
12355	1413	19	23	26	38	39	29
12359	2551	4990	5577	5152	7870	9260	8729
12361	8260	333	331	324	284	280	336
12362	1513	16	29	60	25	26	34
12363	1432	1	0	6	14	8	14
12364	2605	0	0	0	0	0	1
12365	2331	0	0	0	0	0	0
12366	3463	3229	3452	3408	2674	2719	2933
12367	1466	1605	1743	1658	1149	1092	1454
12368	1455	222	195	228	286	239	269
12369	2350	620	750	745	480	439	529
12370	2777	2348	2536	2701	2382	2325	2598
12371	3896	331	342	331	588	489	552
12372	1874	4	1	2	1	1	1
12373	2461	0	0	0	0	0	0
12374	4534	0	0	0	0	0	0
12380	2894	847	1077	992	1256	1186	1374
12385	3676	1547	1959	1845	1469	1692	1652
12386	4130	0	0	0	0	0	0
12387	3623	7663	8159	7855	6612	5808	7218
12388	5475	5	2	3	13	9	7
12389	2487	0	3	0	0	0	0
12390	2473	1	0	0	3	2	8
12391	1157	0	0	0	0	0	0
12393	6928	2	0	0	7	2	2
12394	7369	4790	5668	4942	3140	3430	2647
12395	6899	0	0	0	0	0	0
12396	6080	819	975	911	704	790	768
12398	7964	1119	982	969	1789	1564	1405
12399	3891	45	68	100	133	61	88
12400	2914	5723	5651	5351	4585	4389	5040
12401	1462	0	0	0	0	0	0
12402	5083	1059	1350	1275	1306	1385	1238
12404	2335	47	61	52	14	40	21
12405	2201	74	32	34	62	46	35
12406	2444	0	0	0	1	0	0
12408	1081	5	5	7	14	7	14
12409	1021	0	0	0	1	1	1
12411	2418	0	0	0	0	0	0
12412	1274	1686	1949	1958	1587	1476	1686
12416	3740	1195	1189	1199	621	677	691
12417	1803	397	380	350	270	247	296
12418	5197	1968	1670	1793	1839	1900	1504
12419	8986	6639	8014	7863	3768	3975	4866
12421	7046	1269	1293	1243	1537	1662	1883
12424	686	0	0	0	0	0	0
12425	2929	0	0	0	0	0	0
12426	2483	0	0	0	0	0	0
12427	1566	0	0	0	0	0	0
12428	2811	6844	8524	7783	4332	3507	4994
12442	1541	3269	3674	3607	2149	1418	2473
12443	3796	22	16	20	26	30	38
12444	5772	2324	2719	2302	4450	3466	2936
12445	2261	14448	12098	16636	11346	9256	9331
12447	1956	695	812	691	492	459	496
12448	3217	1807	1813	1564	825	900	1090
12449	3099	2339	3038	2692	1469	1183	1680
12450	3487	2866	2577	2950	2684	2024	3124
12452	2494	2252	2669	2211	3138	2944	3527
12453	2804	4010	4192	3858	3991	3858	4523
12454	2632	1121	1304	1237	1186	1043	1116
12455	2175	521	638	583	616	620	636
12457	3069	279	207	194	138	121	148
12458	2092	0	0	1	2	0	1
12460	1057	234	266	257	317	287	299
12461	1962	7814	8277	8092	6280	5714	7289
12462	1957	5928	6352	6340	3809	3635	4644
12464	1966	4839	5220	5151	4336	4105	4895
12465	1769	7931	8281	8148	6259	5621	7138
12466	2060	5884	5971	6141	3398	3309	4151
12467	1771	0	5	1	3	4	7
12468	2452	5939	6283	6246	4211	3615	4898
12469	2391	7389	8096	8052	4737	4604	5828
12475	1497	2	0	1	5	0	0
12476	2012	217	217	196	282	235	235
12477	1931	14	7	12	14	7	8
12478	2436	10001	10069	10610	23036	22032	18982
12479	1845	369	354	379	887	886	759
12480	1245	69	85	76	189	186	177
12481	1144	685	298	387	3819	1849	3356
12482	2057	84	98	87	1326	1171	2156
12483	4314	301	386	309	2706	3364	3307
12484	1816	27659	28613	28424	14906	14966	17615
12487	4317	0	0	0	0	0	0
12488	5399	1738	1694	1663	1934	1968	2278
12489	2571	12	6	7	30	8	17
12490	2621	1	2	0	3	0	1
12491	3927	9	1	11	48	6	15
12492	2110	381	430	452	773	627	860
12493	1226	3147	3102	3217	8211	7276	7051
12494	2995	453	199	309	2129	1035	1484
12495	4197	582	633	705	1298	1375	1491
12496	1937	1	1	0	0	0	0
12497	2500	258	237	237	135	143	137
12499	4990	1989	1915	1972	2016	1914	2218
12500	1330	0	2	1	2	2	5
12501	1436	0	0	0	0	0	0
12502	1023	0	1	0	0	0	0
12503	7385	1085	1285	1131	875	1320	1328
12504	3095	1	1	0	7	2	7
12505	5654	14	10	5	63	14	37
12506	1142	1115	983	1041	1298	909	1151
12507	2069	8	12	23	18	16	17
12508	2802	3129	2810	2753	5481	4890	6099
12509	1811	0	0	0	0	1	0
12511	3034	4	4	8	2	2	6
12512	1037	1	4	1	10	0	4
12514	1008	57	47	55	65	64	65
12515	1620	356	320	289	1268	1102	1132
12516	978	0	0	1	3	0	2
12517	1503	1893	2314	2154	4222	4667	4015
12518	1327	10524	9554	9952	22616	17458	20278
12519	1701	10	3	6	13	9	8
12520	1518	1702	1726	1651	1441	1314	1364
12521	1854	443	337	332	1689	1002	1352
12522	2145	1	1	0	8	3	9
12523	3190	635	610	621	833	979	887
12524	2539	8	3	6	29	19	34
12525	3130	0	0	0	0	0	0
12526	1416	0	0	0	1	0	0
12527	1192	4	4	9	19	5	13
12530	3627	1459	1620	1538	784	750	763
12531	3134	7226	7535	7783	9023	5966	8364
12532	1941	380	564	500	289	194	341
12534	2860	3296	3901	3720	2021	1386	2210
12537	2589	1476	1753	1656	1497	1341	1368
12539	2456	3454	3546	3673	3262	2881	3581
12540	2125	5764	5401	5616	6108	5149	6881
12544	2143	1405	1710	1737	700	614	722
12545	2960	1127	1335	1222	534	462	526
12549	7722	308	201	195	381	323	356
12550	4413	0	0	0	0	0	1
12552	4216	3	2	4	4	2	3
12554	2290	13	0	4	8	1	1
12555	2843	1	0	1	2	5	1
12556	2860	0	0	0	0	0	0
12557	3462	4	5	12	126	57	180
12558	4646	0	0	0	0	0	0
12560	3995	0	0	0	0	0	0
12561	6343	0	0	0	0	0	0
12562	3986	6	5	4	11	9	6
12563	2632	0	0	0	0	0	0
12564	4301	0	0	0	0	0	0
12565	2903	0	0	0	0	0	0
12566	2432	2425	2699	2519	1454	1616	1656
12567	1347	4489	4655	4615	2731	2610	3115
12568	2058	342	331	360	413	390	393
12569	4134	268	278	278	149	166	126
12570	2704	0	0	0	0	0	0
12571	2470	990	1561	1543	256	538	351
12572	7598	766	748	663	735	728	842
12575	2026	1896	1799	2002	992	1222	1026
12576	2405	1990	1909	1681	3323	2873	3152
12577	1942	4	2	6	2	3	7
12578	1136	232	140	294	189	123	239
12579	1393	1	4	4	4	3	1
12580	1106	2240	2353	2284	1456	1344	1855
12581	1271	991	988	985	1598	1120	1443
12583	1530	14	14	14	24	18	19
12585	2525	154	155	158	95	58	110
12587	567	1	0	1	0	0	0
12589	2950	2	8	5	10	6	10
12590	1750	0	0	0	0	0	0
12591	2145	0	0	0	0	0	0
12592	1595	0	0	0	0	0	0
12593	3929	417	363	368	359	316	379
12606	2636	1	5	1	9	0	4
12607	4077	1912	2049	2031	1471	1413	1716
